Genus	Specie	Subgenus	Author	Year
Aedes	jacobinae	Ochlerotatus	Serafim & Davis	1933
Aedes	jambulingami	Paraedes	Natarajan	2019
Aedes	jamesi	Aedimorphus	Edwards	1914
Aedes	jamoti	Neomelaniconion	Hamon & Rickenbach	1954
Aedes	japonicus	Hulecoeteomyia	Theobald	1901
Aedes	jorgi	Ochlerotatus	Carpintero & Leguizamón	2000
Aedes	josephinae	Finlaya	Marks	1958
Aedes	josiahae	Stegomyia	Huang	1988
Aedes	jugraensis	Hulecoeteomyia	Leicester	1908
Aedes	juppi	Ochlerotatus	McIntosh	1973
Aedes	kabaenensis	Geoskusea	Brug	1939
Aedes	kanarensis	Dendroskusea	Edwards	1934
Aedes	kapretwae	Albuginosus	Edwards	1941
Aedes	karooensis	Aedimorphus	Muspratt	1961
Aedes	karwari	Kenknightia	Barraud	1924
Aedes	kasachstanicus	Ochlerotatus	Gutsevich	1962
Aedes	katherinensis	Stegomyia	Woodhill	1949
Aedes	keefei	subgenus uncertain	King & Hoogstraal	1946
Aedes	keniensis	Stegomyia	van Someren	1946
Aedes	kennethi	Albuginosus	Muspratt	1956
Aedes	kenyae	Stegomyia	van Someren	1946
Aedes	kesseli	Stegomyia	Huang & Hitchcock	1980
Aedes	khazani	Phagomyia	Edwards	1922
Aedes	kiangsiensis	Phagomyia	Tung	1955
Aedes	kivuensis	Stegomyia	Edwards	1941
Aedes	kleini	Bothaella	Reinert	1973
Aedes	knabi	Protomacleaya	Coquillett	1906
Aedes	knighti	Finlaya	Stone & Bohart	1944
Aedes	kobayashii	Bruceharrisonius	Nakata	1956
Aedes	kochi	Finlaya	Dönitz	1901
Aedes	kohkutensis	Cancraedes	Mattingly	1958
Aedes	kompi	Protomacleaya	Vargas & Downs	1950
Aedes	koreicoides	subgenus uncertain	Sasa , Kano & Hayashi	1950
Aedes	koreicus	Hulecoeteomyia	Edwards	1917
Aedes	krombeini	Stegomyia	Huang	1975
Aedes	krymmontanus	Rusticoidus	Alekseev	1989
Aedes	kummi	Pseudarmigeres	Edwards	1930
Aedes	lacteus	Downsiomyia	Knight	1946
Aedes	laffooni	Scutomyia	Knight & Rozeboom	1946
Aedes	laguna	Jarnellius	Arnell & Nielsen	1972
Aedes	lamborni	Bifidistylus	Edwards	1923
Aedes	lambrechti	Skusea	van Someren	1971
Aedes	lamelliferus	Lorrainea	Bohart & Ingram	1946
Aedes	langata	Stegomyia	van Someren	1946
Aedes	laniger	Mucidus	Wiedemann	1820
Aedes	laoagensis	Downsiomyia	Knight	1946
Aedes	lasaensis	Ochlerotatus	Meng	1962
Aedes	lauriei	subgenus uncertain .	Carter	1920
Aedes	ledgeri	Stegomyia	Huang	1981
Aedes	leei	Howardina	Berlin	1969
Aedes	leesoni	Aedimorphus	Edwards	1932
Aedes	leonis	Downsiomyia	Colless	1958
Aedes	lepchanus	Danielsia	Barraud	1923
Aedes	lepidonotus	Rusticoidus	Edwards	1920
Aedes	lepidus	Ochlerotatus	Cerqueira & Paraense	1945
Aedes	leptolabis	Aedimorphus	Edwards	1936
Aedes	lerozeboomi	Kenknightia	Reinert	1990
Aedes	leucarthrius	Aedimorphus	Speiser	1909
Aedes	leucomelas	Ochlerotatus	Meigen	1804
Aedes	leucomeres	Kenknightia	Giles	1904
Aedes	lewelleni	Finlaya	Starkey & Webb	1946
Aedes	lewnielseni	Protomacleaya	Ortega & Zavortink	2019
Aedes	lilii	Stegomyia	Theobald	1910
Aedes	lineatopennis	Neomelaniconion	Ludlow	1905
Aedes	linesi	Ochlerotatus	Marks	1964
Aedes	litoreus	Downsiomyia	Colless	1958
Aedes	littlechildi	Macleaya	Taylor	1933
Aedes	litwakae	Kenknightia	Reinert	1990
Aedes	lokojensis	Catageiomyia	Service	1959
Aedes	longifilamentus	Ochlerotatus	Su & Zhang	1988
Aedes	longiforceps	Geoskusea	Edwards	1929
Aedes	longipalpis	Zavortinkius	Grünberg	1905
Aedes	longirostris	Rhinoskusea	Leicester	1908
Aedes	longiseta	Aedimorphus	Edwards	1936
Aedes	lophoventralis	Phagomyia	Theobald	1910
Aedes	lorraineae	Howardina	Berlin	1969
Aedes	lottei	Catageiomyia	Hamon & Brengues	1965
Aedes	lowisii	Aedimorphus	Theobald	1910
Aedes	lucianus	Mucidus	Muspratt	1959
Aedes	lunulatus	Geoskusea	King & Hoogstraal	1946
